,dates
0,2019-08-16 00:00:00
1,2019-06-06 00:00:00
2,2019-05-23 00:00:00
3,2019-08-05 00:00:00
4,2019-08-04 00:00:00
5,2020-06-29 00:00:00
6,2020-08-19 00:00:00
7,2019-08-22 00:00:00
8,2019-07-04 00:00:00
9,2019-06-27 00:00:00
10,2019-08-08 00:00:00
11,2019-08-28 00:00:00
12,2019-08-22 00:00:00
13,2019-07-24 00:00:00
14,2019-02-24 00:00:00
15,2019-08-15 00:00:00
16,2019-06-27 00:00:00
17,2019-02-15 00:00:00
18,2019-02-15 00:00:00
19,2019-08-20 00:00:00
20,2019-07-16 00:00:00
21,2019-06-20 00:00:00
22,2019-06-20 00:00:00
23,2018-12-24 00:00:00
24,2018-06-24 00:00:00
25,2018-06-24 00:00:00
26,2019-07-23 00:00:00
27,2020-02-19 00:00:00
28,2019-12-19 00:00:00
29,2019-11-19 00:00:00
30,2019-08-19 00:00:00
31,2018-11-24 00:00:00
32,2019-08-24 00:00:00
33,2019-08-16 00:00:00
34,2019-03-16 00:00:00
35,2019-02-16 00:00:00
36,2019-08-23 00:00:00
37,2019-06-05 00:00:00
38,2019-08-22 00:00:00
39,2017-11-23 00:00:00
40,2019-08-14 00:00:00
41,2019-08-01 00:00:00
42,2020-09-25 00:00:00
43,2020-08-21 00:00:00
44,2020-09-18 00:00:00
45,2020-07-31 00:00:00
46,2021-02-23 00:00:00
47,2019-06-26 00:00:00
48,2018-12-26 00:00:00
49,2019-08-09 00:00:00
50,2020-11-19 00:00:00
51,2020-10-15 00:00:00
52,2020-08-19 00:00:00
53,2018-04-24 00:00:00
54,2018-03-13 00:00:00
55,2019-08-05 00:00:00
56,2019-07-15 00:00:00
57,2020-10-29 00:00:00
58,2020-04-29 00:00:00
59,2019-08-15 00:00:00
60,2018-09-22 00:00:00
61,2018-09-08 00:00:00
62,2018-08-11 00:00:00
63,2021-01-18 00:00:00
64,2020-07-18 00:00:00
65,2020-07-18 00:00:00
66,2020-09-18 00:00:00
67,2019-07-20 00:00:00
68,2019-01-20 00:00:00
69,2019-05-20 00:00:00
70,2019-02-20 00:00:00
71,2019-07-19 00:00:00
72,2019-10-30 00:00:00
73,2019-10-30 00:00:00
74,2019-11-13 00:00:00
75,2020-01-17 00:00:00
76,2020-07-15 00:00:00
77,2020-07-15 00:00:00
78,2020-08-04 00:00:00
79,2020-04-04 00:00:00
80,2019-10-21 00:00:00
81,2019-11-13 00:00:00
82,2019-06-13 00:00:00
